district_name,res_buildings_density_km2_contrib,walk_reach_nodes_10min_point_contrib,metro_walk_time_s_point_contrib,competitor_density_km2_contrib,dormitory_cnt_contrib,cemetery_area_share_contrib,index_score_0_1,index_rank,top3_contrib
Сокол,0.2856164383561644,0.22773972602739725,0.15342465753424658,0.12842465753424656,0.05,0.020205479452054795,0.8654109589041097,1.0,"res_buildings_density_km2=0.286, walk_reach_nodes_10min_point=0.228, metro_walk_time_s_point=0.153"
Арбат,0.2897260273972603,0.24315068493150685,0.1452054794520548,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.8554794520547946,2.0,"res_buildings_density_km2=0.290, walk_reach_nodes_10min_point=0.243, metro_walk_time_s_point=0.145"
Ломоносовский,0.2383561643835616,0.2328767123287671,0.13972602739726028,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.7883561643835616,3.0,"res_buildings_density_km2=0.238, walk_reach_nodes_10min_point=0.233, metro_walk_time_s_point=0.140"
Косино-Ухтомский,0.28356164383561644,0.21746575342465754,0.16027397260273973,0.075,0.028595890410958905,0.022945205479452054,0.7878424657534245,4.0,"res_buildings_density_km2=0.284, walk_reach_nodes_10min_point=0.217, metro_walk_time_s_point=0.160"
Замоскворечье,0.27328767123287667,0.2482876712328767,0.1589041095890411,0.040068493150684927,0.012157534246575343,0.036815068493150686,0.7695205479452055,5.0,"res_buildings_density_km2=0.273, walk_reach_nodes_10min_point=0.248, metro_walk_time_s_point=0.159"
Преображенское,0.20136986301369864,0.19863013698630136,0.16575342465753426,0.12842465753424656,0.04400684931506849,0.0089041095890411,0.7470890410958905,6.0,"res_buildings_density_km2=0.201, walk_reach_nodes_10min_point=0.199, metro_walk_time_s_point=0.166"
Бескудниковский,0.21986301369863015,0.22602739726027396,0.12328767123287672,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.7465753424657535,7.0,"walk_reach_nodes_10min_point=0.226, res_buildings_density_km2=0.220, competitor_density_km2=0.128"
Мещанский,0.27534246575342464,0.24486301369863014,0.16849315068493154,0.006164383561643843,0.012157534246575343,0.036815068493150686,0.7438356164383562,8.0,"res_buildings_density_km2=0.275, walk_reach_nodes_10min_point=0.245, metro_walk_time_s_point=0.168"
Тверской,0.25479452054794516,0.25,0.15205479452054796,0.022602739726027405,0.03527397260273973,0.021917808219178082,0.7366438356164383,9.0,"res_buildings_density_km2=0.255, walk_reach_nodes_10min_point=0.250, metro_walk_time_s_point=0.152"
Академический,0.2506849315068493,0.1934931506849315,0.17808219178082194,0.02054794520547945,0.0464041095890411,0.036815068493150686,0.7260273972602739,10.0,"res_buildings_density_km2=0.251, walk_reach_nodes_10min_point=0.193, metro_walk_time_s_point=0.178"
Басманный,0.2794520547945205,0.24143835616438356,0.09863013698630137,0.017465753424657535,0.04948630136986301,0.036815068493150686,0.7232876712328766,11.0,"res_buildings_density_km2=0.279, walk_reach_nodes_10min_point=0.241, metro_walk_time_s_point=0.099"
Щербинка,0.3,0.08561643835616438,0.13287671232876713,0.12842465753424656,0.039041095890410965,0.036815068493150686,0.7227739726027397,12.0,"res_buildings_density_km2=0.300, metro_walk_time_s_point=0.133, competitor_density_km2=0.128"
Красносельский,0.1910958904109589,0.2363013698630137,0.19315068493150686,0.023630136986301363,0.03527397260273973,0.036815068493150686,0.7162671232876712,13.0,"walk_reach_nodes_10min_point=0.236, metro_walk_time_s_point=0.193, res_buildings_density_km2=0.191"
Бабушкинский,0.23424657534246573,0.21232876712328766,0.18356164383561646,0.013356164383561646,0.028595890410958905,0.036815068493150686,0.708904109589041,14.0,"res_buildings_density_km2=0.234, walk_reach_nodes_10min_point=0.212, metro_walk_time_s_point=0.184"
Аэропорт,0.2568493150684931,0.2345890410958904,0.12191780821917808,0.007191780821917803,0.0464041095890411,0.036815068493150686,0.7037671232876712,15.0,"res_buildings_density_km2=0.257, walk_reach_nodes_10min_point=0.235, metro_walk_time_s_point=0.122"
Марьина Роща,0.21164383561643837,0.23972602739726026,0.1808219178082192,0.009246575342465757,0.0464041095890411,0.00684931506849315,0.6946917808219178,16.0,"walk_reach_nodes_10min_point=0.240, res_buildings_density_km2=0.212, metro_walk_time_s_point=0.181"
Пресненский,0.2589041095890411,0.2054794520547945,0.14383561643835616,0.04212328767123288,0.039041095890410965,0.0006849315068493179,0.6900684931506849,17.0,"res_buildings_density_km2=0.259, walk_reach_nodes_10min_point=0.205, metro_walk_time_s_point=0.144"
Алексеевский,0.20342465753424657,0.17294520547945205,0.12465753424657536,0.12842465753424656,0.04777397260273973,0.011643835616438359,0.6888698630136987,18.0,"res_buildings_density_km2=0.203, walk_reach_nodes_10min_point=0.173, competitor_density_km2=0.128"
Якиманка,0.16027397260273973,0.2208904109589041,0.18767123287671234,0.07089041095890411,0.012157534246575343,0.036815068493150686,0.6886986301369863,19.0,"walk_reach_nodes_10min_point=0.221, metro_walk_time_s_point=0.188, res_buildings_density_km2=0.160"
Кокошкино,0.29589041095890406,0.20205479452054795,0.041095890410958916,0.08732876712328767,0.012157534246575343,0.036815068493150686,0.6753424657534246,20.0,"res_buildings_density_km2=0.296, walk_reach_nodes_10min_point=0.202, competitor_density_km2=0.087"
Свиблово,0.16643835616438354,0.238013698630137,0.17397260273972603,0.029794520547945208,0.028595890410958905,0.036815068493150686,0.6736301369863013,21.0,"walk_reach_nodes_10min_point=0.238, metro_walk_time_s_point=0.174, res_buildings_density_km2=0.166"
Лианозово,0.2650684931506849,0.16267123287671234,0.06575342465753424,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.6708904109589041,22.0,"res_buildings_density_km2=0.265, walk_reach_nodes_10min_point=0.163, competitor_density_km2=0.128"
Марфино,0.2671232876712329,0.17636986301369864,0.06438356164383562,0.12842465753424656,0.012157534246575343,0.02089041095890411,0.6693493150684933,23.0,"res_buildings_density_km2=0.267, walk_reach_nodes_10min_point=0.176, competitor_density_km2=0.128"
Коньково,0.15205479452054796,0.2243150684931507,0.18493150684931509,0.019520547945205472,0.04948630136986301,0.036815068493150686,0.667123287671233,24.0,"walk_reach_nodes_10min_point=0.224, metro_walk_time_s_point=0.185, res_buildings_density_km2=0.152"
Текстильщики,0.26095890410958905,0.08732876712328767,0.16712328767123288,0.06986301369863013,0.04400684931506849,0.036815068493150686,0.6660958904109588,25.0,"res_buildings_density_km2=0.261, metro_walk_time_s_point=0.167, walk_reach_nodes_10min_point=0.087"
Черёмушки,0.24246575342465754,0.20376712328767124,0.11780821917808221,0.0482876712328767,0.012157534246575343,0.036815068493150686,0.6613013698630137,26.0,"res_buildings_density_km2=0.242, walk_reach_nodes_10min_point=0.204, metro_walk_time_s_point=0.118"
Хамовники,0.2465753424657534,0.1523972602739726,0.12876712328767123,0.07397260273972601,0.04160958904109589,0.01712328767123288,0.6604452054794521,27.0,"res_buildings_density_km2=0.247, walk_reach_nodes_10min_point=0.152, metro_walk_time_s_point=0.129"
Северное Измайлово,0.27123287671232876,0.11643835616438356,0.15616438356164386,0.06472602739726026,0.012157534246575343,0.036815068493150686,0.6575342465753425,28.0,"res_buildings_density_km2=0.271, metro_walk_time_s_point=0.156, walk_reach_nodes_10min_point=0.116"
Новокосино,0.20753424657534245,0.20034246575342465,0.13835616438356166,0.06061643835616437,0.012157534246575343,0.036815068493150686,0.6558219178082192,29.0,"res_buildings_density_km2=0.208, walk_reach_nodes_10min_point=0.200, metro_walk_time_s_point=0.138"
Ховрино,0.21575342465753425,0.15924657534246575,0.06849315068493152,0.12842465753424656,0.028595890410958905,0.036815068493150686,0.6373287671232876,30.0,"res_buildings_density_km2=0.216, walk_reach_nodes_10min_point=0.159, competitor_density_km2=0.128"
Раменки,0.06164383561643835,0.2071917808219178,0.17671232876712328,0.10171232876712329,0.0464041095890411,0.036815068493150686,0.6304794520547945,31.0,"walk_reach_nodes_10min_point=0.207, metro_walk_time_s_point=0.177, competitor_density_km2=0.102"
"""Мосрентген""",0.2917808219178082,0.08047945205479452,0.09452054794520548,0.12842465753424656,0.012157534246575343,0.01849315068493151,0.6258561643835616,32.0,"res_buildings_density_km2=0.292, competitor_density_km2=0.128, metro_walk_time_s_point=0.095"
Савёловский,0.2876712328767123,0.2089041095890411,0.07945205479452055,0.0,0.012157534246575343,0.036815068493150686,0.625,33.0,"res_buildings_density_km2=0.288, walk_reach_nodes_10min_point=0.209, metro_walk_time_s_point=0.079"
