district_name,demand_total,mean_time_min,p50_time_min,p90_time_min,share_5min,share_10min,share_15min
Арбат,2548737.1021898966,108.16409052451854,108.77976727394913,116.90681246460126,0.0,0.0,0.0
Марфино,1962594.177196972,51.29697265836857,53.9522453053856,58.24682816165487,0.0,0.0,0.0
Сокол,4293592.275901007,105.13415747702571,105.21418227280455,118.27955519878891,0.0,0.0,0.0
Бескудниковский,5750658.984284876,11.135808751828296,10.190606710935382,18.371308528424816,0.09371603965145295,0.4831843929428865,0.7228152370714602
Замоскворечье,4620691.88370693,117.0941902789155,117.68507063062849,131.83200583933166,0.0,0.0,0.0
Ломоносовский,7743524.912517268,13.286768982180716,13.373811742352865,22.726946137777393,0.14123087652003363,0.42237022921350753,0.629722333610895
Тверской,6737191.105994412,128.06421161991491,128.50263092234482,138.0889812001926,0.0,0.0,0.0
Басманный,9485104.961060634,153.67679708954367,154.05753136639683,158.96515425709407,0.0,0.0,0.0
Аэропорт,6165003.195140282,102.47489387892874,100.63759067006319,114.07203548935858,0.0,0.0,0.0
Мещанский,5224528.65047956,120.13175443461775,118.41418441938939,137.2333826236523,0.0,0.0,0.0
Алексеевский,5509109.306186677,75.28559866555845,74.97703972010328,86.3720529175703,0.0,0.0,0.0
Хамовники,9886214.639259288,91.6919585100516,89.64982684819235,109.38479970495396,0.0,0.0,0.0
Академический,8236604.654585702,38.14703688429964,38.14968609981466,52.77724998414671,0.0,0.0,0.0
Якиманка,3915005.715678209,101.2778679471517,102.6429971867351,118.32010342918548,0.0,0.0,0.0
Щукино,8242784.150541633,111.55873937477968,110.7744118952602,127.08655055253568,0.0,0.0,0.0
Савёловский,4298675.357309535,99.63299563295095,100.93519076609597,106.51130532822276,0.0,0.0,0.0
Бабушкинский,5505400.279318085,48.91694866504909,49.730163473778454,59.89864650592852,0.0,0.0,0.0
Черёмушки,9127049.49841534,13.235011366970946,13.537826242614875,22.519289646066344,0.11449060140209098,0.3601216820469817,0.5927535644150261
Преображенское,5695164.443479525,132.35184570978302,130.34746905946542,145.77391958104397,0.0,0.0,0.0
Лианозово,5435832.82751196,55.68099253395612,55.32324199823361,64.02970189359301,0.0,0.0,0.0
Зюзино,7570913.155562031,29.54809354314608,29.687772778516607,43.80471052469569,0.0,0.0,0.0637239741085966
Текстильщики,6202199.871460068,82.23756681148699,80.55210044206022,101.7637436195716,0.0,0.0,0.0
Ховрино,8859950.430398973,12.567850421481385,12.054226099115175,20.94142676195232,0.08865342653062785,0.40430880892896365,0.7129223559801029
Пресненский,15696062.28703686,124.66405750493182,125.16031782337632,133.50425554293426,0.0,0.0,0.0
Свиблово,5292736.187368685,28.933543115545348,28.455260093235083,37.95174745988109,0.0,0.0,0.0
Коптево,5850020.0826031715,53.31375512608074,51.144990976650085,68.3655957825644,0.0,0.0,0.0
Проспект Вернадского,6160847.982719061,26.6846652435806,28.353909596615313,37.36413841804128,0.0,0.0,0.11674787334947896
Южнопортовый,5033063.397813199,125.1320749616417,123.87527845237831,139.10741325561034,0.0,0.0,0.0
Северное Измайлово,4747516.943146631,198.85012886243499,201.48456656686074,216.33444368760178,0.0,0.0,0.0
Марьина Роща,4556323.336127144,97.4040213382781,97.23154572083023,110.63870426425454,0.0,0.0,0.0
Кузьминки,7638014.871014188,77.44844550330825,76.5822421153122,87.51807540636649,0.0,0.0,0.0
Новогиреево,5218674.826902792,160.11304145960273,159.3130731365367,168.61098593937112,0.0,0.0,0.0
Бутырский,5355267.498873312,73.22340271348583,69.43656820501165,96.94346668306272,0.0,0.0,0.0
Филёвский Парк,7930222.716647852,86.8720667062048,85.6937826946194,115.47526073860928,0.0,0.0,0.0
Войковский,5876187.792257138,63.2575854756928,65.66223876235794,79.03990644819861,0.0,0.0,0.0
Беговой,2974588.471876837,126.8839196922493,126.0899892191186,139.34991885645383,0.0,0.0,0.0
Красносельский,4122585.503462282,137.1470543713791,137.6764182338485,145.2170050856451,0.0,0.0,0.0
Дмитровский,6949039.810069964,17.039918193497208,16.211485742486857,27.901617350017567,0.08964334780257588,0.28224618852767425,0.4274498891429103
Соколиная Гора,5612142.264979302,165.12494924814357,166.3963001702894,174.56275789238137,0.0,0.0,0.0
Хорошёвский,8705399.698859362,135.27799191725842,139.30282869277127,145.5366883176426,0.0,0.0,0.0
