district_name,delta_share_10min
Свиблово,0.4484549292802716
Дмитровский,0.3717902489262875
Западное Дегунино,0.3225143411527634
Преображенское,0.2832365145001091
Северное Тушино,0.2745642218995292
Солнцево,0.2608914735461438
Таганский,0.252259546241896
Тропарёво-Никулино,0.2146965523160391
Отрадное,0.1838326317994743
Хорошёво-Мнёвники,0.1562008859951724
Богородское,0.1267125094527607
Алтуфьевский,0.1038791659544435
Ростокино,0.0540042859874756
Ховрино,0.008005161509994
Северный,0.0
Ярославский,0.0
Южное Бутово,0.0
Нижегородский,0.0
Крюково,0.0
Можайский,0.0
Куркино,0.0
Лефортово,0.0
Арбат,0.0
Орехово-Борисово Северное,0.0
Старое Крюково,0.0
Митино,0.0
Марушкинское,0.0
Лосиноостровский,0.0
Покровское-Стрешнево,0.0
Чертаново Северное,0.0
