sel_rank,lat,lon,district_name
1,55.677200507705294,37.53561137722211,Ломоносовский
2,55.86866191189736,37.58740731419206,Отрадное
3,55.758411965806665,37.57767643934221,Пресненский
4,55.861604566161525,37.50327156537732,Ховрино
5,55.69779589077935,37.76146022120661,Кузьминки
6,55.79219819353729,37.49404285843343,Щукино
7,55.73929690848329,37.672265391933266,Таганский
8,55.807105522596814,37.79855957883789,Северное Измайлово
9,55.73693833684964,37.44403133156466,Филёвский Парк
10,55.868333364758314,37.665586358683626,Бабушкинский
11,55.74944937380092,37.82060675914136,Новогиреево
12,55.67944760101994,37.48163979425278,Проспект Вернадского
13,55.8058257905039,37.582463323332405,Бутырский
14,55.79634159951291,37.71434177353745,Преображенское
15,55.64580195880742,37.60386052631196,Зюзино
16,55.72038606789733,37.617187780289946,Якиманка
17,55.81173568545408,37.642458190016924,Алексеевский
18,55.877408145965845,37.53679604507434,Дмитровский
19,55.681746525658156,37.584154917524025,Академический
20,55.75129829989154,37.515161820449684,Филёвский Парк
