sel_rank,lat,lon,district_name
1,55.677200507705294,37.53561137722211,Ломоносовский
2,55.86866191189736,37.58740731419206,Отрадное
3,55.755825710246135,37.61578651056007,Тверской
4,55.688812595560314,37.76174422287298,Кузьминки
5,55.80019701732568,37.511358383215814,Сокол
6,55.80686944518671,37.774633215555376,Северное Измайлово
7,55.73693833684964,37.44403133156466,Филёвский Парк
8,55.861604566161525,37.50327156537732,Ховрино
9,55.74488098731353,37.81277938296463,Новогиреево
10,55.64580195880742,37.60386052631196,Зюзино
11,55.85943697097587,37.673880127311755,Бабушкинский
12,55.73929690848329,37.672265391933266,Таганский
13,55.67495646979921,37.48181377529783,Проспект Вернадского
14,55.809667440600215,37.453474156938846,Щукино
15,55.8058257905039,37.582463323332405,Бутырский
16,55.75775401807531,37.52192349735901,Пресненский
17,55.79634159951291,37.71434177353745,Преображенское
18,55.701701408414834,37.66963856307522,Южнопортовый
19,55.72029622408956,37.609230538488056,Якиманка
20,55.70709603672226,37.79299620484249,Кузьминки
