district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,delta_share_10min,delta_share_15min,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min
Арбат,2548737.1021898966,0.0,0.0,108.16409052451854,108.77976727394913,116.90681246460126,2548737.1021898966,0.0,0.0,30.367336126832196,30.289341000159816,39.89721816289135,0.0,0.0,-77.79675439768634,-78.49042627378932,-77.00959430170991
Марфино,1962594.177196972,0.0,0.0,51.29697265836857,53.9522453053856,58.24682816165487,1962594.177196972,0.0,0.0,41.39446990543099,41.365088000021586,44.23151053543033,0.0,0.0,-9.902502752937579,-12.587157305364016,-14.015317626224537
Сокол,4293592.275901007,0.0,0.0,105.13415747702571,105.21418227280455,118.27955519878891,4293592.275901007,0.4074419716319375,0.7575353617362647,12.491793432359898,10.803278841620934,22.915307835010505,0.4074419716319375,0.7575353617362647,-92.64236404466581,-94.41090343118361,-95.3642473637784
Бескудниковский,5750658.984284876,0.4831843929428865,0.7228152370714602,11.135808751828296,10.190606710935382,18.371308528424816,5750658.984284876,0.0,0.0,34.750504380168046,34.37820649728907,41.61053212644347,-0.4831843929428865,-0.7228152370714602,23.61469562833975,24.187599786353687,23.239223598018658
Замоскворечье,4620691.88370693,0.0,0.0,117.0941902789155,117.68507063062849,131.83200583933166,4620691.88370693,0.0,0.05912325591210931,28.66587141186897,29.827914525117105,36.58945733506035,0.0,0.05912325591210931,-88.42831886704653,-87.85715610551138,-95.2425485042713
Ломоносовский,7743524.912517268,0.42237022921350753,0.629722333610895,13.286768982180716,13.373811742352865,22.726946137777393,7743524.912517268,0.4001138769966099,0.7367097701771441,11.977584813345,11.250049949031988,19.41873195387537,-0.022256352216897646,0.1069874365662491,-1.3091841688357153,-2.1237617933208774,-3.308214183902024
Тверской,6737191.105994412,0.0,0.0,128.06421161991491,128.50263092234482,138.0889812001926,6737191.105994412,0.043661722172719096,0.08973005382756645,31.170039715421133,33.97052110487603,40.149232050186875,0.043661722172719096,0.08973005382756645,-96.89417190449379,-94.5321098174688,-97.93974915000572
Басманный,9485104.961060634,0.0,0.0,121.55726789279355,121.37412755080166,147.8910277425671,9485104.961060634,0.0,0.0,39.23318146527771,39.177453768108634,49.41672934582827,0.0,0.0,-82.32408642751584,-82.19667378269303,-98.47429839673883
Аэропорт,6165003.195140282,0.0,0.0,102.47489387892874,100.63759067006319,114.07203548935858,6165003.195140282,0.0,0.07684604237646861,26.80605615978587,28.242876566077985,35.27617372689651,0.0,0.07684604237646861,-75.66883771914287,-72.39471410398521,-78.79586176246207
Мещанский,5224528.65047956,0.0,0.0,120.13175443461775,118.41418441938939,137.2333826236523,5224528.65047956,0.0,0.0,45.056158618277664,48.25615659788655,57.1401458024945,0.0,0.0,-75.07559581634008,-70.15802782150283,-80.09323682115779
Алексеевский,5509109.306186677,0.0,0.0,75.28559866555845,74.97703972010328,86.3720529175703,5509109.306186677,0.0,0.0,62.9912494081679,62.43122123103043,68.06461042137599,0.0,0.0,-12.29434925739055,-12.54581848907285,-18.307442496194312
Хамовники,9886214.639259288,0.0,0.0,91.6919585100516,89.64982684819235,109.38479970495396,9886214.639259288,0.0,0.0,36.840334739730366,36.37549236342729,47.47390011400873,0.0,0.0,-54.85162377032124,-53.274334484765056,-61.910899590945235
Академический,8236604.654585702,0.0,0.0,38.14703688429964,38.14968609981466,52.77724998414671,8236604.654585702,0.0,0.0,44.85501387727408,46.23006639272126,56.02858324035553,0.0,0.0,6.707976992974444,8.080380292906604,3.2513332562088237
Якиманка,3915005.715678209,0.0,0.0,101.2778679471517,102.6429971867351,118.32010342918548,3915005.715678209,0.33012007029085133,0.42894985977073746,16.804288989817945,19.099695092254915,26.950277995662397,0.33012007029085133,0.42894985977073746,-84.47357895733376,-83.54330209448018,-91.36982543352309
Щукино,8242784.150541633,0.0,0.0,111.55873937477968,110.7744118952602,127.08655055253568,8242784.150541633,0.22723514543725654,0.2949496040832387,21.122762927193076,24.2283350349426,36.245766109530514,0.22723514543725654,0.2949496040832387,-90.4359764475866,-86.5460768603176,-90.84078444300516
Савёловский,4298675.357309535,0.0,0.0,99.63299563295095,100.93519076609597,106.51130532822276,4298675.357309535,0.14125021734772536,0.3117180111981854,18.03488841447093,19.39228915129174,25.5414920533644,0.14125021734772536,0.3117180111981854,-81.59810721848002,-81.54290161480424,-80.96981327485835
Бабушкинский,5505400.279318085,0.0,0.0,48.91694866504909,49.730163473778454,59.89864650592852,5505400.279318085,0.27491003937415065,0.4198398510181931,17.165861550505728,17.19751939216919,27.78940281918029,0.27491003937415065,0.4198398510181931,-31.751087114543363,-32.53264408160926,-32.10924368674823
Черёмушки,9127049.49841534,0.3601216820469817,0.5927535644150261,13.235011366970946,13.537826242614875,22.519289646066344,9127049.49841534,0.0,0.016453271354597777,33.435578557477676,35.064902225768904,43.97077254136842,-0.3601216820469817,-0.5763002930604284,20.20056719050673,21.527075983154027,21.451482895302075
Преображенское,5695164.443479525,0.0,0.0,73.81321885920694,74.4710771837822,85.46974539521385,5695164.443479525,0.2896767313538889,0.5992648799335257,13.559391590655961,12.890112333409837,20.941851999557684,0.2896767313538889,0.5992648799335257,-60.25382726855098,-61.58096485037236,-64.52789339565616
Лианозово,5435832.82751196,0.0,0.0,55.68099253395612,55.32324199823361,64.02970189359301,5435832.82751196,0.0,0.0,52.33148924254751,51.077584265777105,68.46105672465696,0.0,0.0,-3.3495032914086096,-4.2456577324565075,4.431354831063942
Зюзино,7570913.155562031,0.0,0.0637239741085966,29.54809354314608,29.687772778516607,43.80471052469569,7570913.155562031,0.09679154490485156,0.19449145521401065,24.302387096545406,26.572736563449507,35.6789706480719,0.09679154490485156,0.13076748110541403,-5.245706446600675,-3.1150362150671,-8.12573987662379
Текстильщики,6202199.871460068,0.0,0.0,82.23756681148699,80.55210044206022,101.7637436195716,6202199.871460068,0.0,0.0,37.68888005001273,33.98824588460017,58.17337969361626,0.0,0.0,-44.54868676147426,-46.563854557460054,-43.59036392595534
Ховрино,8859950.430398973,0.40430880892896365,0.7129223559801029,12.567850421481385,12.054226099115175,20.94142676195232,8859950.430398973,0.2909240575710973,0.48666016815061536,16.688593060133446,15.028453737699325,29.63277069394452,-0.11338475135786635,-0.22626218782948754,4.120742638652061,2.97422763858415,8.691343931992197
Пресненский,15696062.28703686,0.0,0.0,124.66405750493182,125.16031782337632,133.50425554293426,15696062.28703686,0.060367005998226295,0.08606782955778708,30.447138596779173,28.62129576377794,47.35651570510352,0.060367005998226295,0.08606782955778708,-94.21691890815265,-96.53902205959838,-86.14773983783074
Свиблово,5292736.187368685,0.0,0.0,28.933543115545348,28.455260093235083,37.95174745988109,5292736.187368685,0.0,0.0,30.94179392270593,30.908229447970644,40.232599268599024,0.0,0.0,2.0082508071605822,2.4529693547355613,2.2808518087179337
Коптево,5850020.0826031715,0.0,0.0,53.31375512608074,51.144990976650085,68.3655957825644,5850020.0826031715,0.0,0.0,47.897492499111856,48.18263473331737,53.23737852235964,0.0,0.0,-5.416262626968887,-2.9623562433327137,-15.128217260204757
Проспект Вернадского,6160847.982719061,0.0,0.11674787334947896,26.6846652435806,28.353909596615313,37.36413841804128,6160847.982719061,0.10410971867898952,0.2207392333187352,19.872697545332198,20.653487807752324,27.641695793372516,0.10410971867898952,0.10399135996925625,-6.811967698248402,-7.70042178886299,-9.722442624668762
Южнопортовый,5033063.397813199,0.0,0.0,125.1320749616417,123.87527845237831,139.10741325561034,5033063.397813199,0.09874093624762778,0.25459140412442394,21.298302802003818,19.8404726968177,35.47166085115869,0.09874093624762778,0.25459140412442394,-103.83377215963789,-104.03480575556061,-103.63575240445165
