district_name,mean_time_min_k20,p50_time_min_k20,p90_time_min_k20,share_10min_k20,share_15min_k20,D_effective_k20,D_effective_share_k20,demand_total_k20,mean_time_min_k30,p50_time_min_k30,p90_time_min_k30,share_10min_k30,share_15min_k30,D_effective_k30,D_effective_share_k30,demand_total_k30,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min,delta_share_10min,delta_share_15min,delta_D_effective
Арбат,108.16409052451854,108.77976727394913,116.90681246460126,0.0,0.0,509747.4204379793,0.19999999999999998,2548737.1021898966,81.72433929765347,83.44888898195306,90.6819630175918,0.0,0.0,509747.4204379793,0.19999999999999998,2548737.1021898966,-26.43975122686507,-25.330878291996072,-26.22484944700946,0.0,0.0,0.0
Марфино,51.29697265836857,53.9522453053856,58.24682816165487,0.0,0.0,730863.2545199348,0.37239652650135374,1962594.177196972,51.27295930750885,53.9522453053856,58.24682816165487,0.0,0.0,730863.2545199348,0.37239652650135374,1962594.177196972,-0.02401335085971823,0.0,0.0,0.0,0.0,0.0
Сокол,105.13415747702571,105.21418227280455,118.27955519878891,0.0,0.0,858718.4551802012,0.19999999999999998,4293592.275901007,61.28210723523014,61.797890104740084,71.6209080570005,0.0,0.0,1164330.2640067656,0.27117858175353454,4293592.275901007,-43.85205024179557,-43.416292168064466,-46.65864714178841,0.0,0.0,305611.80882656435
Бескудниковский,11.135808751828296,10.190606710935382,18.371308528424816,0.4831843929428865,0.7228152370714602,5267708.308838215,0.9160182029978746,5750658.984284876,11.135808751828296,10.190606710935382,18.371308528424816,0.4831843929428865,0.7228152370714602,5267708.308838215,0.9160182029978746,5750658.984284876,0.0,0.0,0.0,0.0,0.0,0.0
Замоскворечье,117.0941902789155,117.68507063062849,131.83200583933166,0.0,0.0,924138.3767413861,0.20000000000000004,4620691.88370693,44.93764483309717,44.89550281812407,55.91756596426195,0.0,0.0,2003049.4769483523,0.4334955732519898,4620691.88370693,-72.15654544581834,-72.78956781250442,-75.91443987506972,0.0,0.0,1078911.100206966
Ломоносовский,13.286768982180716,13.373811742352865,22.726946137777393,0.42237022921350753,0.629722333610895,6853051.467069706,0.8850041220881039,7743524.912517268,13.286768982180716,13.373811742352865,22.726946137777393,0.42237022921350753,0.629722333610895,6853051.467069706,0.8850041220881039,7743524.912517268,0.0,0.0,0.0,0.0,0.0,0.0
Тверской,128.06421161991491,128.50263092234482,138.0889812001926,0.0,0.0,1347438.2211988824,0.2,6737191.105994412,86.79691027771148,86.67310928493605,104.04785339182088,0.0,0.0,1347438.2211988824,0.2,6737191.105994412,-41.26730134220344,-41.829521637408774,-34.04112780837171,0.0,0.0,0.0
Басманный,121.55726789279355,121.37412755080166,147.8910277425671,0.0,0.0,1897020.9922121267,0.19999999999999998,9485104.961060634,49.40736765400676,50.21730627458665,59.71208428647348,0.0,0.0,3659278.913403148,0.3857921370850032,9485104.961060634,-72.14990023878678,-71.15682127621501,-88.17894345609363,0.0,0.0,1762257.921191021
Аэропорт,102.47489387892874,100.63759067006319,114.07203548935858,0.0,0.0,1233000.6390280565,0.20000000000000004,6165003.195140282,85.62489906462322,86.19024506402141,95.75140802731791,0.0,0.0,1233000.6390280565,0.20000000000000004,6165003.195140282,-16.849994814305518,-14.447345606041779,-18.320627462040676,0.0,0.0,0.0
Мещанский,120.13175443461775,118.41418441938939,137.2333826236523,0.0,0.0,1044905.7300959118,0.19999999999999996,5224528.65047956,78.54026699591864,79.71311334253524,91.09180567171282,0.0,0.0,1044905.7300959118,0.19999999999999996,5224528.65047956,-41.591487438699104,-38.70107107685415,-46.14157695193947,0.0,0.0,0.0
Алексеевский,75.28559866555845,74.97703972010328,86.3720529175703,0.0,0.0,1122205.1677249018,0.20369992776594142,5509109.306186677,59.7688534032528,61.08393411541173,69.63850020696127,0.0,0.0,1543221.2296151477,0.28012173000127716,5509109.306186677,-15.516745262305655,-13.893105604691549,-16.733552710609032,0.0,0.0,421016.0618902459
Хамовники,91.6919585100516,89.64982684819235,109.38479970495396,0.0,0.0,1977242.927851858,0.20000000000000004,9886214.639259288,81.09718372663899,81.37336273801954,88.96831965165542,0.0,0.0,1977242.927851858,0.20000000000000004,9886214.639259288,-10.594774783412618,-8.27646411017281,-20.416480053298542,0.0,0.0,0.0
Академический,38.14703688429964,38.14968609981466,52.77724998414671,0.0,0.0,4202892.94560029,0.5102700835908572,8236604.654585702,38.14703688429964,38.14968609981466,52.77724998414671,0.0,0.0,4202892.94560029,0.5102700835908572,8236604.654585702,0.0,0.0,0.0,0.0,0.0,0.0
Якиманка,101.2778679471517,102.6429971867351,118.32010342918548,0.0,0.0,783001.1431356418,0.2,3915005.715678209,60.530617598004,60.334371273658306,67.93410942747188,0.0,0.0,1053783.8638742615,0.2691653449327624,3915005.715678209,-40.747250349147706,-42.308625913076796,-50.3859940017136,0.0,0.0,270782.7207386197
Щукино,111.55873937477968,110.7744118952602,127.08655055253568,0.0,0.0,1648556.8301083266,0.19999999999999998,8242784.150541633,46.99321310191223,46.838935767679494,59.076917553023954,0.0,0.0,3390142.093098919,0.4112860450041207,8242784.150541633,-64.56552627286744,-63.935476127580706,-68.00963299951172,0.0,0.0,1741585.2629905923
Савёловский,99.63299563295095,100.93519076609597,106.51130532822276,0.0,0.0,859735.0714619072,0.20000000000000004,4298675.357309535,97.5177202837211,98.34164782618087,102.3843379902609,0.0,0.0,859735.0714619072,0.20000000000000004,4298675.357309535,-2.1152753492298473,-2.593542939915096,-4.126967337961858,0.0,0.0,0.0
Бабушкинский,48.91694866504909,49.730163473778454,59.89864650592852,0.0,0.0,2114906.2909455053,0.3841512303638463,5505400.279318085,37.031044711842775,37.050040209243214,48.414219179411766,0.0,0.0,2818602.3826193344,0.5119704725572569,5505400.279318085,-11.885903953206316,-12.68012326453524,-11.484427326516752,0.0,0.0,703696.0916738291
Черёмушки,13.235011366970946,13.537826242614875,22.519289646066344,0.3601216820469817,0.5927535644150261,7983736.189409178,0.8747335259653554,9127049.49841534,13.235011366970946,13.537826242614875,22.519289646066344,0.3601216820469817,0.5927535644150261,7983736.189409178,0.8747335259653554,9127049.49841534,0.0,0.0,0.0,0.0,0.0,0.0
Преображенское,73.81321885920694,74.4710771837822,85.46974539521385,0.0,0.0,1224787.374820585,0.21505742054961405,5695164.443479525,17.030825851880167,18.326036564169968,27.296193727934032,0.28323651450010917,0.4136576184794637,4741940.054510447,0.8326256601667686,5695164.443479525,-56.782393007326775,-56.14504061961223,-58.17355166727982,0.28323651450010917,0.4136576184794637,3517152.6796898623
Лианозово,55.68099253395612,55.32324199823361,64.02970189359301,0.0,0.0,1706939.8164741292,0.3140162456495952,5435832.82751196,44.26431543386008,44.09355975501971,53.00668130883494,0.0,0.0,2351263.8517059023,0.43254896283889244,5435832.82751196,-11.416677100096045,-11.229682243213901,-11.023020584758072,0.0,0.0,644324.035231773
