district_name,best_by_mean_time,best_by_share10
Арбат,max_effective_demand,baseline_coverage10
Марфино,min_mean_time,baseline_coverage10
Сокол,min_mean_time,min_mean_time
Бескудниковский,baseline_coverage10,baseline_coverage10
Замоскворечье,max_effective_demand,max_effective_demand
Ломоносовский,min_mean_time,baseline_coverage10
Тверской,min_mean_time,min_mean_time
Басманный,min_mean_time,baseline_coverage10
Аэропорт,min_mean_time,baseline_coverage10
Мещанский,min_mean_time,baseline_coverage10
Алексеевский,max_effective_demand,max_effective_demand
Хамовники,min_mean_time,baseline_coverage10
Академический,max_effective_demand,max_effective_demand
Якиманка,min_mean_time,min_mean_time
Щукино,min_mean_time,min_mean_time
Савёловский,min_mean_time,min_mean_time
Бабушкинский,max_effective_demand,min_mean_time
Черёмушки,baseline_coverage10,baseline_coverage10
Преображенское,min_mean_time,min_mean_time
Лианозово,max_effective_demand,baseline_coverage10
Зюзино,max_effective_demand,min_mean_time
Текстильщики,max_effective_demand,baseline_coverage10
Ховрино,baseline_coverage10,baseline_coverage10
Пресненский,max_effective_demand,max_effective_demand
Свиблово,baseline_coverage10,baseline_coverage10
Коптево,min_mean_time,baseline_coverage10
Проспект Вернадского,min_mean_time,max_effective_demand
Южнопортовый,min_mean_time,min_mean_time
Северное Измайлово,max_effective_demand,max_effective_demand
Марьина Роща,max_effective_demand,baseline_coverage10
Кузьминки,max_effective_demand,max_effective_demand
Новогиреево,min_mean_time,max_effective_demand
Бутырский,min_mean_time,min_mean_time
Филёвский Парк,max_effective_demand,max_effective_demand
Войковский,min_mean_time,baseline_coverage10
Беговой,max_effective_demand,baseline_coverage10
Красносельский,min_mean_time,baseline_coverage10
Дмитровский,baseline_coverage10,baseline_coverage10
Соколиная Гора,min_mean_time,baseline_coverage10
Хорошёвский,min_mean_time,baseline_coverage10
Таганский,min_mean_time,min_mean_time
Отрадное,max_effective_demand,min_mean_time
Щербинка,baseline_coverage10,baseline_coverage10
Котловка,max_effective_demand,max_effective_demand
Зябликово,baseline_coverage10,baseline_coverage10
Косино-Ухтомский,baseline_coverage10,baseline_coverage10
Коньково,baseline_coverage10,baseline_coverage10
Ростокино,max_effective_demand,baseline_coverage10
Хорошёво-Мнёвники,max_effective_demand,min_mean_time
Новокосино,max_effective_demand,baseline_coverage10
Фили-Давыдково,max_effective_demand,min_mean_time
Алтуфьевский,min_mean_time,min_mean_time
Рязанский,min_mean_time,min_mean_time
Обручевский,baseline_coverage10,baseline_coverage10
Донской,max_effective_demand,min_mean_time
Северное Медведково,max_effective_demand,baseline_coverage10
Раменки,baseline_coverage10,baseline_coverage10
Восточное Измайлово,baseline_coverage10,baseline_coverage10
Чертаново Южное,min_mean_time,baseline_coverage10
"""Мосрентген""",baseline_coverage10,baseline_coverage10
Марьино,baseline_coverage10,baseline_coverage10
Сокольники,max_effective_demand,baseline_coverage10
Богородское,min_mean_time,baseline_coverage10
Тёплый Стан,baseline_coverage10,baseline_coverage10
Чертаново Центральное,min_mean_time,baseline_coverage10
Нагорный,max_effective_demand,min_mean_time
Нагатинский Затон,min_mean_time,baseline_coverage10
Ново-Переделкино,baseline_coverage10,baseline_coverage10
Северное Тушино,baseline_coverage10,baseline_coverage10
Перово,min_mean_time,baseline_coverage10
Кокошкино,baseline_coverage10,baseline_coverage10
Дорогомилово,max_effective_demand,baseline_coverage10
Нагатино-Садовники,min_mean_time,baseline_coverage10
Южное Тушино,min_mean_time,baseline_coverage10
Гагаринский,max_effective_demand,baseline_coverage10
Воскресенское,baseline_coverage10,baseline_coverage10
Останкинский,max_effective_demand,baseline_coverage10
Рязановское,baseline_coverage10,baseline_coverage10
Митино,baseline_coverage10,baseline_coverage10
Марушкинское,baseline_coverage10,baseline_coverage10
Лосиноостровский,max_effective_demand,baseline_coverage10
Покровское-Стрешнево,min_mean_time,min_mean_time
Чертаново Северное,min_mean_time,baseline_coverage10
Киевский,baseline_coverage10,baseline_coverage10
Старое Крюково,baseline_coverage10,baseline_coverage10
Силино,baseline_coverage10,baseline_coverage10
Южное Медведково,max_effective_demand,baseline_coverage10
Восточное Дегунино,baseline_coverage10,baseline_coverage10
Бибирево,max_effective_demand,baseline_coverage10
Головинский,baseline_coverage10,baseline_coverage10
Измайлово,baseline_coverage10,baseline_coverage10
Даниловский,min_mean_time,max_effective_demand
Выхино-Жулебино,min_mean_time,min_mean_time
Некрасовка,baseline_coverage10,baseline_coverage10
Орехово-Борисово Северное,baseline_coverage10,baseline_coverage10
Лефортово,min_mean_time,baseline_coverage10
Тропарёво-Никулино,baseline_coverage10,baseline_coverage10
Северный,baseline_coverage10,baseline_coverage10
