district_name,mean_time_min_eff,mean_time_min_keep,delta_keep_vs_eff_mean
Матушкино,180.00000000000003,0.0,-180.00000000000003
Силино,180.00000000000003,0.0,-180.00000000000003
Савёлки,179.99999999999997,0.0,-179.99999999999997
Старое Крюково,179.99999999999997,0.0,-179.99999999999997
Крюково,180.00000000000006,1.6125540292343166,-178.38744597076575
Молжаниновский,176.90814282323964,57.94401681487874,-118.9641260083609
Куркино,121.84767030820277,112.80466094327971,-9.043009364923051
Выхино-Жулебино,72.54279497449316,72.54279497449316,0.0
Некрасовка,132.86645780794393,132.86645780794393,0.0
Орехово-Борисово Северное,116.10399423192212,116.10399423192212,0.0
Южное Бутово,169.8475572204989,169.8475572204989,0.0
Тропарёво-Никулино,34.132523763778686,34.132523763778686,0.0
Даниловский,35.72880933468084,35.72880933468084,0.0
Нижегородский,50.16158780543021,50.16158780543021,0.0
Ярославский,46.44670970154783,46.44670970154783,0.0
Солнцево,92.44786126819518,92.44786126819518,0.0
Лефортово,40.60026614371802,40.60026614371802,0.0
Измайлово,28.184043820114024,28.184043820114024,0.0
Арбат,19.96817917500271,19.96817917500271,0.0
Бибирево,49.05226728338693,49.05226728338693,0.0
