district_name,total_w,covered_w_k20,share_10min_k20,covered_w_k30,share_10min_k30,covered_w_k40,share_10min_k40,covered_w_k60,share_10min_k60,delta_share_30_minus_20,delta_share_40_minus_20
"""Мосрентген""",1174104.951819368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Академический,8236604.654585703,0.0,0.0,0.0,0.0,2225503.1579374676,0.2701966709909314,2225503.1579374676,0.2701966709909314,0.0,0.2701966709909314
Алексеевский,5509109.306186677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Алтуфьевский,3552550.41777101,0.0,0.0,369035.97440916253,0.10387916595444355,369035.97440916253,0.10387916595444355,369035.97440916253,0.10387916595444355,0.10387916595444355,0.10387916595444355
Арбат,2548737.102189896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Аэропорт,6165003.195140282,0.0,0.0,0.0,0.0,2509146.0343044978,0.4069983347749755,2509146.0343044978,0.4069983347749755,0.0,0.4069983347749755
Бабушкинский,5505400.279318087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Басманный,9485104.961060634,0.0,0.0,0.0,0.0,0.0,0.0,2302728.7323741736,0.24277314187113436,0.0,0.0
Беговой,2974588.471876837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бескудниковский,5750658.984284876,2778628.6703432435,0.4831843929428864,2778628.6703432435,0.4831843929428864,2778628.6703432435,0.4831843929428864,3376427.570383278,0.5871375053902895,0.0,0.0
Бибирево,7819933.1434884695,0.0,0.0,0.0,0.0,0.0,0.0,2321493.860602623,0.2968687606409644,0.0,0.0
Бирюлёво Восточное,10044513.812218662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бирюлёво Западное,3151495.557558256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Богородское,8087881.337194677,0.0,0.0,1024835.7403920874,0.1267125094527607,1024835.7403920874,0.1267125094527607,1024835.7403920874,0.1267125094527607,0.1267125094527607,0.1267125094527607
Братеево,5575880.857393113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бутырский,5355267.498873312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Вешняки,5684569.048699389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Внуково,704658.1935699431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Внуковское,8606709.357133875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Войковский,5876187.792257138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Воскресенское,1520952.0717953374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
